iyear;imonth;iday;country;region;success;suicide;attacktype1;targtype1;guncertain1;weaptype1;gname
2000;1;1;139;11;1;0;2;1;0;5;National Union for the Total Independence of Angola (UNITA)
2000;1;1;139;11;1;0;6;1;0;5;National Union for the Total Independence of Angola (UNITA)
2000;1;1;92;6;1;0;2;3;0;5;Lashkar-e-Taiba (LeT)
2000;1;1;92;6;1;0;3;21;1;6;United Liberation Front of Assam (ULFA)
2000;1;1;217;1;1;0;7;1;0;8;Earth Liberation Front (ELF)
2000;1;1;186;6;1;0;9;4;0;13;Tamils
2000;1;2;75;8;0;0;2;2;1;8;Autonomous Decorators
2000;1;2;45;3;1;0;3;21;0;6;Revolutionary Armed Forces of Colombia (FARC)
2000;1;3;139;11;1;0;2;18;0;5;National Union for the Total Independence of Angola (UNITA)
2000;1;3;110;10;1;0;2;7;1;5;Asbat al-Ansar
2000;1;3;78;8;1;0;7;7;0;8;Anarchist Faction
2000;1;3;217;1;1;0;7;1;0;8;Animal Liberation Front (ALF)
2000;1;3;217;1;0;0;3;5;0;6;Anti-Abortion extremists
2000;1;3;217;1;0;0;3;5;0;6;Anti-Abortion extremists
2000;1;3;228;10;0;1;3;4;0;6;Al-Qaida
2000;1;4;213;11;1;0;2;1;0;8;Allied Democratic Forces (ADF)
2000;1;4;147;11;1;0;8;3;0;2;Odua Peoples Congress (OPC)
2000;1;5;186;6;1;1;3;2;0;6;Liberation Tigers of Tamil Eelam (LTTE)
2000;1;6;167;9;1;0;3;2;0;6;Chechen Rebels
2000;1;7;92;6;1;0;3;2;0;6;Peoples War Group (PWG)
2000;1;7;45;3;1;0;2;3;1;5;Revolutionary Armed Forces of Colombia (FARC)
2000;1;8;98;8;1;0;2;22;0;8;Revolutionary Leninist Brigades
2000;1;8;95;10;0;0;3;14;0;6;Muslim extremists
2000;1;8;93;5;1;0;2;3;0;5;Free Aceh Movement (GAM)
2000;1;8;94;10;1;0;3;14;0;6;Mujahedin-e Khalq (MEK)
2000;1;9;93;5;1;0;2;3;0;5;Free Aceh Movement (GAM)
2000;1;9;45;3;0;0;3;14;1;6;National Liberation Army of Colombia (ELN)
2000;1;9;139;11;1;0;2;14;1;5;National Union for the Total Independence of Angola (UNITA)
2000;1;10;603;8;1;0;1;17;0;5;Loyalist Volunteer Forces (LVF)
2000;1;10;6;10;1;0;3;1;0;6;Algerian Islamic Extremists
2000;1;11;213;11;1;0;2;13;0;13;Allied Democratic Forces (ADF)
2000;1;11;92;6;1;0;3;3;0;6;Peoples War Group (PWG)
2000;1;12;45;3;1;0;2;3;0;5;Revolutionary Armed Forces of Colombia (FARC)
2000;1;12;45;3;1;0;2;3;0;5;Revolutionary Armed Forces of Colombia (FARC)
2000;1;12;45;3;1;0;2;3;0;5;Revolutionary Armed Forces of Colombia (FARC)
2000;1;12;92;6;1;0;2;4;0;5;Lashkar-e-Taiba (LeT)
2000;1;12;183;11;1;0;3;14;1;8;28s
2000;1;12;230;11;1;0;2;14;0;5;National Union for the Total Independence of Angola (UNITA)
2000;1;12;230;11;1;0;2;14;0;5;National Union for the Total Independence of Angola (UNITA)
2000;1;12;230;11;1;0;2;14;0;5;National Union for the Total Independence of Angola (UNITA)
2000;1;12;230;11;1;0;2;14;0;5;National Union for the Total Independence of Angola (UNITA)
2000;1;12;230;11;1;0;2;14;0;5;National Union for the Total Independence of Angola (UNITA)
2000;1;12;230;11;1;0;2;14;0;5;National Union for the Total Independence of Angola (UNITA)
2000;1;12;230;11;1;0;2;14;0;5;National Union for the Total Independence of Angola (UNITA)
2000;1;12;230;11;1;0;2;14;0;5;National Union for the Total Independence of Angola (UNITA)
2000;1;12;110;10;1;0;3;17;0;6;Hezbollah
2000;1;13;213;11;1;0;6;14;0;13;Lords Resistance Army (LRA)
2000;1;13;186;6;1;0;3;14;1;6;Liberation Tigers of Tamil Eelam (LTTE)
2000;1;14;139;11;1;0;2;14;0;5;National Union for the Total Independence of Angola (UNITA)
2000;1;15;8;11;1;0;2;14;0;9;National Union for the Total Independence of Angola (UNITA)
2000;1;15;217;1;1;0;7;1;0;8;Animal Liberation Front (ALF)
2000;1;16;195;11;1;0;3;21;0;6;Beja Congress
2000;1;16;92;6;1;0;3;21;0;6;Lashkar-e-Taiba (LeT)
2000;1;16;209;10;1;0;3;10;0;6;Great Eastern Islamic Raiders Front (IBDA-C)
2000;1;16;92;6;1;0;6;14;1;5;National Liberation Front of Tripura (NLFT)
2000;1;16;213;11;1;0;2;13;1;5;Allied Democratic Forces (ADF)
2000;1;17;45;3;1;0;3;21;0;6;National Liberation Army of Colombia (ELN)
2000;1;18;45;3;1;0;3;8;1;6;Revolutionary Armed Forces of Colombia (FARC)
2000;1;18;160;5;1;0;3;1;1;6;New Peoples Army (NPA)
2000;1;20;186;6;1;0;3;3;1;6;Liberation Tigers of Tamil Eelam (LTTE)
2000;1;20;217;1;1;0;7;14;0;8;Earth Liberation Front (ELF)
2000;1;21;185;8;1;0;3;14;0;6;Basque Fatherland and Freedom (ETA)
2000;1;21;139;11;1;0;2;14;1;5;National Union for the Total Independence of Angola (UNITA)
2000;1;23;139;11;1;0;3;14;1;6;National Union for the Total Independence of Angola (UNITA)
2000;1;23;78;8;1;0;3;7;0;8;Anarchist Faction
2000;1;24;205;5;1;0;4;1;0;5;Gods Army
2000;1;24;213;11;1;0;2;13;0;5;Lords Resistance Army (LRA)
2000;1;24;93;5;1;0;3;4;0;6;Free Aceh Movement (GAM)
2000;1;24;92;6;1;0;2;4;0;6;Muslim extremists
2000;1;24;217;1;0;0;7;1;0;8;Animal Liberation Front (ALF)
2000;1;24;186;6;1;0;9;14;0;13;Liberation Tigers of Tamil Eelam (LTTE)
2000;1;25;8;11;1;0;9;14;1;13;National Union for the Total Independence of Angola (UNITA)
2000;1;25;228;10;1;0;6;21;0;13;Tribesmen
2000;1;26;141;6;1;0;2;3;0;5;Left-wing extremists
2000;7;27;167;9;1;0;2;3;0;5;Gunmen
2000;1;28;186;6;1;0;2;4;0;5;Liberation Tigers of Tamil Eelam (LTTE)
2000;1;28;45;3;1;0;6;14;0;13;Popular Liberation Army (EPL)
2000;1;0;45;3;1;0;2;14;0;5;United Self Defense Units of Colombia (AUC)
2000;1;29;6;10;1;0;2;3;0;5;Salafist Group for Preaching and Fighting (GSPC)
2000;1;29;213;11;1;0;6;13;0;13;Lords Resistance Army (LRA)
2000;1;29;139;11;1;0;6;14;0;5;National Union for the Total Independence of Angola (UNITA)
2000;1;29;45;3;1;0;3;21;1;6;Revolutionary Armed Forces of Colombia (FARC)
2000;1;28;235;9;1;0;2;2;0;5;Gunmen
2000;1;30;110;10;1;0;1;17;0;6;Hezbollah
2000;1;30;186;6;1;0;3;19;1;6;Liberation Tigers of Tamil Eelam (LTTE)
2000;1;31;92;6;1;0;6;14;0;5;Insurgents
2000;1;31;92;6;1;0;6;14;0;5;Insurgents
2000;2;0;195;11;1;0;9;14;0;13;Sudan Peoples Liberation Army (SPLA)
2000;1;31;92;6;1;0;6;14;1;13;National Liberation Front of Tripura (NLFT)
2000;2;1;159;3;1;0;2;14;1;5;Shining Path (SL)
2000;2;3;186;6;1;0;3;19;1;6;Liberation Tigers of Tamil Eelam (LTTE)
2000;2;3;45;3;1;0;3;21;1;6;Revolutionary Armed Forces of Colombia (FARC)
2000;2;3;195;11;1;0;6;7;1;13;Militia Members
2000;2;4;45;3;1;0;3;14;1;6;Revolutionary Armed Forces of Colombia (FARC)
2000;2;5;94;10;1;0;3;15;0;6;Mujahedin-e Khalq (MEK)
2000;2;5;94;10;1;0;3;2;0;6;Mujahedin-e Khalq (MEK)
2000;2;6;603;8;1;0;3;1;0;6;Continuity Irish Republican Army (CIRA)
2000;2;8;45;3;1;0;3;21;1;6;National Liberation Army of Colombia (ELN)
2000;2;9;186;6;1;0;3;4;0;5;Liberation Tigers of Tamil Eelam (LTTE)
2000;2;9;130;1;1;0;2;14;0;5;Gunmen
2000;2;10;92;6;1;0;2;3;1;5;Guerrillas
2000;2;10;209;10;1;0;3;16;0;6;Great Eastern Islamic Raiders Front (IBDA-C)
2000;2;10;209;10;1;0;3;14;0;6;Great Eastern Islamic Raiders Front (IBDA-C)
2000;2;10;209;10;1;0;3;2;0;6;Great Eastern Islamic Raiders Front (IBDA-C)
2000;2;11;110;10;1;0;2;4;1;5;Hezbollah
2000;2;11;185;8;1;0;7;1;1;8;Basque Fatherland and Freedom (ETA)
2000;2;8;186;6;1;0;3;19;0;6;Liberation Tigers of Tamil Eelam (LTTE)
2000;2;14;78;8;1;0;3;1;0;6;Erotic Anti-authority Cells
2000;2;14;213;11;1;0;6;4;0;13;Lords Resistance Army (LRA)
2000;2;15;160;5;1;0;6;14;1;5;Moro Islamic Liberation Front (MILF)
2000;2;15;160;5;1;0;6;12;0;5;Abu Sayyaf Group (ASG)
2000;2;16;160;5;1;0;2;4;1;5;Abu Sayyaf Group (ASG)
2000;2;16;59;3;1;0;3;10;1;6;National Liberation Army (Ecuador)
2000;2;17;92;6;1;0;1;4;0;6;Hizbul Mujahideen (HM)
2000;2;17;139;11;1;0;6;14;0;5;National Union for the Total Independence of Angola (UNITA)
2000;2;17;45;3;1;0;3;3;1;6;Revolutionary Armed Forces of Colombia (FARC)
2000;2;18;92;6;1;0;3;3;0;6;Separatists
2000;2;18;92;6;1;0;3;4;0;6;Separatists
2000;2;18;45;3;1;0;3;3;0;6;Revolutionary Armed Forces of Colombia (FARC)
2000;2;18;92;6;1;0;2;3;0;6;Peoples War Group (PWG)
2000;2;18;45;3;1;0;6;14;0;9;United Self Defense Units of Colombia (AUC)
2000;2;18;6;10;1;0;2;14;1;5;Islamist extremists
2000;2;19;141;6;1;0;3;3;0;6;Communist Party of Nepal- Maoist (CPN-M)
2000;2;20;92;6;1;0;3;3;1;6;Peoples War Group (PWG)
2000;2;20;160;5;1;0;3;3;1;6;Moro Islamic Liberation Front (MILF)
2000;2;20;160;5;1;0;3;3;1;6;Moro Islamic Liberation Front (MILF)
2000;2;20;160;5;1;0;3;3;1;6;Moro Islamic Liberation Front (MILF)
2000;2;20;45;3;1;0;3;21;0;6;National Liberation Army of Colombia (ELN)
2000;2;20;92;6;1;0;8;2;1;9;National Peoples Party (Rashtriya Janata Dal - RJD)
2000;2;20;8;11;1;0;2;4;0;5;National Union for the Total Independence of Angola (UNITA)
2000;2;20;8;11;1;0;2;4;0;5;National Union for the Total Independence of Angola (UNITA)
2000;2;20;92;6;1;0;3;14;0;8;National Liberation Front of Tripura (NLFT)
2000;2;20;160;5;1;0;3;3;1;6;Moro Islamic Liberation Front (MILF)
2000;2;16;45;3;1;0;9;14;0;13;Right-Wing Death Squad
2000;2;21;59;3;0;0;1;12;0;6;Grupo de Combatientes Populares
2000;2;21;6;10;1;0;2;14;0;8;Armed Islamic Group (GIA)
2000;2;21;159;3;1;0;3;14;1;6;Shining Path (SL)
2000;2;22;185;8;1;0;1;2;1;6;Basque Fatherland and Freedom (ETA)
2000;2;22;45;3;1;0;7;19;1;8;Revolutionary Armed Forces of Colombia (FARC)
2000;2;22;174;11;1;0;2;4;1;5;Movement of Democratic Forces of Casamance
2000;2;22;1003;9;1;0;8;14;0;9;Albanian extremists
2000;2;22;167;9;1;0;2;4;0;5;Chechen Rebels
2000;2;22;92;6;1;0;2;4;0;5;Tribesmen
2000;2;22;45;3;1;0;7;19;1;8;Revolutionary Armed Forces of Colombia (FARC)
2000;2;22;45;3;1;0;7;19;1;8;Revolutionary Armed Forces of Colombia (FARC)
2000;2;23;167;9;1;0;8;2;0;9;Chechen Rebels
2000;2;23;93;5;1;0;2;4;1;5;Free Aceh Movement (GAM)
2000;2;24;6;10;1;0;2;4;0;5;Muslim Militants
2000;2;25;603;8;1;0;3;4;1;6;Continuity Irish Republican Army (CIRA)
2000;2;25;160;5;1;0;3;11;0;6;Moro Islamic Liberation Front (MILF)
2000;2;24;6;10;1;0;2;14;0;9;Muslim Militants
2000;2;25;217;1;1;0;7;1;0;8;Animal Liberation Front (ALF)
2000;2;26;186;6;1;0;3;2;0;6;Liberation Tigers of Tamil Eelam (LTTE)
2000;2;26;160;5;1;0;7;19;1;8;New Peoples Army (NPA)
2000;2;27;139;11;1;0;2;14;1;5;National Union for the Total Independence of Angola (UNITA)
2000;2;27;92;6;1;0;3;2;1;6;United Liberation Front of Assam (ULFA)
2000;2;27;160;5;1;0;3;10;1;6;Moro Islamic Liberation Front (MILF)
2000;3;1;110;10;1;0;3;17;1;6;Hezbollah
2000;3;1;228;10;1;0;6;7;0;13;Tribesmen
2000;3;2;167;9;1;0;3;2;1;5;Chechen Rebels
2000;3;1;186;6;1;0;1;2;0;5;Liberation Tigers of Tamil Eelam (LTTE)
2000;3;3;160;5;1;0;2;4;1;5;New Peoples Army (NPA)
2000;3;3;92;6;1;0;3;14;1;6;Separatists
2000;3;4;6;10;1;0;2;14;1;5;Squadrons of Terror (Katibat El Ahoual)
2000;3;4;92;6;1;0;1;4;1;5;Peoples War Group (PWG)
2000;3;4;92;6;1;0;2;14;1;5;Naxalites
2000;3;4;110;10;1;0;2;4;0;5;Hezbollah
2000;3;4;213;11;1;0;6;15;0;5;Lords Resistance Army (LRA)
2000;3;5;78;8;1;0;3;1;1;6;Revolutionary Nuclei
2000;3;5;45;3;1;0;2;14;0;5;United Self Defense Units of Colombia (AUC)
2000;3;6;185;8;1;0;3;4;1;6;Basque Fatherland and Freedom (ETA)
2000;3;7;92;6;1;0;1;2;1;6;Naxalites
2000;3;7;92;6;1;0;2;3;1;5;United Liberation Front of Assam (ULFA)
2000;3;9;45;3;1;0;2;2;1;5;Revolutionary Armed Forces of Colombia (FARC)
2000;3;10;186;6;1;0;2;3;1;5;Liberation Tigers of Tamil Eelam (LTTE)
2000;3;11;69;8;1;0;3;2;1;6;Breton Liberation Front (FLB)
2000;3;11;92;6;1;0;3;4;1;6;Peoples War Group (PWG)
2000;3;11;28;9;1;0;3;14;1;6;Serb Radical Party
2000;3;12;217;1;1;0;7;1;0;8;Animal Liberation Front (ALF)
2000;3;12;6;10;1;0;3;14;0;6;Algerian Islamic Extremists
2000;3;13;94;10;1;0;3;4;1;6;Mujahedin-e Khalq (MEK)
2000;3;13;6;10;1;0;2;14;1;5;Armed Islamic Group (GIA)
2000;3;14;45;3;1;0;2;4;1;5;Revolutionary Armed Forces of Colombia (FARC)
2000;3;14;92;6;1;0;2;4;0;5;Lashkar-e-Taiba (LeT)
2000;3;15;45;3;1;0;2;4;1;5;Revolutionary Armed Forces of Colombia (FARC)
2000;3;15;160;5;1;0;3;19;1;6;Moro Islamic Liberation Front (MILF)
2000;3;15;160;5;1;0;3;19;1;6;Moro Islamic Liberation Front (MILF)
2000;3;16;8;11;1;0;6;14;0;5;National Union for the Total Independence of Angola (UNITA)
2000;3;16;145;2;1;0;2;14;1;5;Andres Castro United Front
2000;3;17;45;3;1;0;3;4;1;6;Revolutionary Armed Forces of Colombia (FARC)
2000;3;18;160;5;1;0;2;2;1;5;Moro Islamic Liberation Front (MILF)
2000;3;20;6;10;1;0;2;14;1;5;Salafist Group for Preaching and Fighting (GSPC)
2000;3;20;160;5;1;0;6;14;0;9;Abu Sayyaf Group (ASG)
2000;3;21;92;6;1;0;2;14;1;5;Lashkar-e-Taiba (LeT)
2000;3;0;92;6;1;0;3;19;0;6;Tamil Nadu Liberation Army
2000;3;22;45;3;1;0;3;21;1;6;National Liberation Army of Colombia (ELN)
2000;3;22;45;3;1;0;3;21;1;6;National Liberation Army of Colombia (ELN)
2000;3;22;8;11;1;0;2;14;1;9;National Union for the Total Independence of Angola (UNITA)
2000;3;22;6;10;1;0;3;21;0;6;Salafist Group for Preaching and Fighting (GSPC)
2000;3;23;110;10;1;0;3;17;1;6;Hezbollah
2000;3;22;30;3;1;0;6;2;0;13;Terena Indians
2000;3;26;45;3;1;0;2;14;1;6;Revolutionary Armed Forces of Colombia (FARC)
2000;3;26;45;3;1;0;3;14;1;6;Revolutionary Armed Forces of Colombia (FARC)
2000;3;27;186;6;1;0;3;4;1;6;Liberation Tigers of Tamil Eelam (LTTE)
2000;3;27;186;6;1;0;3;4;1;6;Liberation Tigers of Tamil Eelam (LTTE)
2000;3;28;141;6;1;0;3;2;0;6;Maoists
2000;3;30;45;3;1;0;3;2;1;6;Revolutionary Armed Forces of Colombia (FARC)
2000;3;31;141;6;1;0;2;3;1;5;Communist Party of Nepal- Maoist (CPN-M)
2000;3;31;93;5;0;0;2;4;0;5;Free Aceh Movement (GAM)
2000;4;0;45;3;1;0;6;14;0;13;Revolutionary Armed Forces of Colombia (FARC)
2000;4;1;93;5;1;0;2;4;0;5;Free Aceh Movement (GAM)
2000;4;1;6;10;1;0;2;4;0;5;Salafist Group for Preaching and Fighting (GSPC)
2000;4;1;6;10;1;0;3;3;1;6;Salafist Group for Preaching and Fighting (GSPC)
2000;4;1;6;10;1;0;9;3;1;13;Squadrons of Terror (Katibat El Ahoual)
2000;4;2;141;6;1;0;3;14;1;6;Maoists
2000;4;3;87;2;1;0;1;10;0;5;Gunmen
2000;4;3;45;3;1;0;6;14;0;8;National Liberation Army of Colombia (ELN)
2000;4;3;45;3;1;0;3;19;0;6;National Liberation Army of Colombia (ELN)
2000;4;4;186;6;1;0;3;4;0;6;Liberation Tigers of Tamil Eelam (LTTE)
2000;4;6;603;8;1;0;3;4;1;6;Real Irish Republican Army (RIRA)
2000;4;6;45;3;1;0;2;14;1;5;Paramilitaries
2000;4;7;110;10;0;0;1;15;0;5;Shia Muslim extremists
2000;4;9;160;5;1;0;3;1;1;6;Moro National Liberation Front (MNLF)
2000;4;9;160;5;1;0;2;19;1;5;Moro National Liberation Front (MNLF)
2000;4;9;217;1;1;0;7;14;1;8;Coalition to Save the Preserves (CSP)
2000;4;9;92;6;1;0;6;2;0;13;National Liberation Front of Tripura (NLFT)
2000;4;9;92;6;1;0;6;2;0;13;National Liberation Front of Tripura (NLFT)
2000;4;9;92;6;1;0;6;2;0;13;National Liberation Front of Tripura (NLFT)
2000;4;9;92;6;1;0;6;2;0;13;National Liberation Front of Tripura (NLFT)
2000;4;9;92;6;1;0;6;2;0;5;National Liberation Front of Tripura (NLFT)
2000;4;9;92;6;1;0;6;2;0;13;National Liberation Front of Tripura (NLFT)
2000;4;11;45;3;1;0;3;19;0;5;National Liberation Army of Colombia (ELN)
2000;4;11;45;3;1;0;3;15;0;6;National Liberation Army of Colombia (ELN)
2000;4;11;45;3;1;0;3;15;0;6;National Liberation Army of Colombia (ELN)
2000;4;11;45;3;1;0;3;15;0;6;National Liberation Army of Colombia (ELN)
2000;4;11;45;3;1;0;3;19;0;6;National Liberation Army of Colombia (ELN)
2000;4;11;45;3;0;0;3;9;0;6;National Liberation Army of Colombia (ELN)
2000;4;11;6;10;1;0;3;8;0;6;Algerian Islamic Extremists
2000;4;12;139;11;1;0;3;21;1;6;National Union for the Total Independence of Angola (UNITA)
2000;4;12;160;5;1;0;3;3;1;6;New Peoples Army (NPA)
2000;4;12;78;8;1;0;3;14;0;8;Last Generation
2000;4;12;45;3;1;0;6;14;0;13;National Liberation Army of Colombia (ELN)
2000;4;13;603;8;0;0;3;3;0;6;Continuity Irish Republican Army (CIRA)
2000;4;13;45;3;1;0;3;21;1;6;National Liberation Army of Colombia (ELN)
2000;4;14;217;1;1;0;7;5;0;8;Anti-Abortion extremists
2000;4;15;160;5;1;0;3;14;0;6;Moro Islamic Liberation Front (MILF)
2000;4;15;160;5;1;0;3;1;0;6;Moro Islamic Liberation Front (MILF)
2000;4;15;69;8;1;0;3;3;0;6;Iparretarrak (IK)
2000;4;16;141;6;1;0;2;22;0;5;Communist Party of Nepal- Maoist (CPN-M)
2000;4;18;92;6;1;0;6;14;0;5;National Liberation Front of Tripura (NLFT)
2000;4;19;69;8;1;0;3;1;0;6;Breton Liberation Front (FLB)
2000;4;19;92;6;1;1;3;4;0;6;Jaish-e-Mohammad (JeM)
2000;4;19;92;6;1;0;2;14;0;5;National Liberation Front of Tripura (NLFT)
2000;4;20;6;10;1;0;2;4;0;5;Salafist Group for Preaching and Fighting (GSPC)
2000;4;21;98;8;0;0;3;15;0;6;Iconoclasts
2000;4;24;92;6;1;0;2;14;0;5;Karbi National Volunteers (KNV)
2000;4;24;121;5;1;0;6;18;0;5;Abu Sayyaf Group (ASG)
2000;4;24;160;5;1;0;3;1;1;6;Abu Sayyaf Group (ASG)
2000;4;25;185;8;0;0;3;10;1;6;Basque Fatherland and Freedom (ETA)
2000;4;25;199;8;1;0;3;2;0;6;Revolutionary Perspective
2000;4;25;6;10;1;0;3;3;0;6;Algerian Islamic Extremists
2000;4;25;199;8;1;0;3;2;0;6;Revolutionary Perspective
2000;4;25;235;9;1;0;1;2;0;5;Gunmen
2000;4;30;160;5;1;0;3;14;1;6;Moro Islamic Liberation Front (MILF)
