iyear;imonth;iday;country;region;success;suicide;attacktype1;targtype1;targsubtype1;natlty1;guncertain1;weaptype1;individual;ransom;gname
2000;1;1;139;11;1;0;2;1;2;139;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;1;139;11;1;0;6;1;11;139;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;1;92;6;1;0;2;3;22;92;0;5;0;0;Lashkar-e-Taiba (LeT)
2000;1;1;92;6;1;0;3;21;0;92;1;6;0;0;United Liberation Front of Assam (ULFA)
2000;1;1;217;1;1;0;7;1;5;217;0;8;0;0;Earth Liberation Front (ELF)
2000;1;1;186;6;1;0;9;4;27;186;0;13;0;0;Tamils
2000;1;2;75;8;0;0;2;2;18;75;1;8;0;0;Autonomous Decorators
2000;1;2;45;3;1;0;3;21;107;45;0;6;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;1;3;139;11;1;0;2;18;96;69;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;3;110;10;1;0;2;7;46;167;1;5;0;0;Asbat al-Ansar
2000;1;3;78;8;1;0;7;7;45;102;0;8;0;0;Anarchist Faction
2000;1;3;217;1;1;0;7;1;0;217;0;8;0;0;Animal Liberation Front (ALF)
2000;1;3;217;1;0;0;3;5;40;217;0;6;0;0;Anti-Abortion extremists
2000;1;3;217;1;0;0;3;5;40;217;0;6;0;0;Anti-Abortion extremists
2000;1;3;228;10;0;1;3;4;32;217;0;6;0;0;Al-Qaida
2000;1;4;213;11;1;0;2;1;2;213;0;8;0;0;Allied Democratic Forces (ADF)
2000;1;4;147;11;1;0;8;3;25;147;0;2;0;0;Odua Peoples Congress (OPC)
2000;1;5;186;6;1;1;3;2;18;186;0;6;0;0;Liberation Tigers of Tamil Eelam (LTTE)
2000;1;6;167;9;1;0;3;2;18;167;0;6;0;0;Chechen Rebels
2000;1;7;92;6;1;0;3;2;15;92;0;6;0;0;Peoples War Group (PWG)
2000;1;7;45;3;1;0;2;3;23;45;1;5;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;1;8;98;8;1;0;2;22;110;98;0;8;0;0;Revolutionary Leninist Brigades
2000;1;8;95;10;0;0;3;14;67;95;0;6;0;0;Muslim extremists
2000;1;8;93;5;1;0;2;3;22;93;0;5;0;0;Free Aceh Movement (GAM)
2000;1;8;94;10;1;0;3;14;67;94;0;6;0;0;Mujahedin-e Khalq (MEK)
2000;1;9;93;5;1;0;2;3;22;93;0;5;0;0;Free Aceh Movement (GAM)
2000;1;9;45;3;0;0;3;14;79;45;1;6;0;0;National Liberation Army of Colombia (ELN)
2000;1;9;139;11;1;0;2;14;76;139;1;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;10;603;8;1;0;1;17;94;233;0;5;0;0;Loyalist Volunteer Forces (LVF)
2000;1;10;6;10;1;0;3;1;1;6;0;6;0;0;Algerian Islamic Extremists
2000;1;11;213;11;1;0;2;13;65;213;0;13;0;0;Allied Democratic Forces (ADF)
2000;1;11;92;6;1;0;3;3;22;92;0;6;0;0;Peoples War Group (PWG)
2000;1;12;45;3;1;0;2;3;22;45;0;5;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;1;12;45;3;1;0;2;3;22;45;0;5;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;1;12;45;3;1;0;2;3;22;45;0;5;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;1;12;92;6;1;0;2;4;27;92;0;5;0;0;Lashkar-e-Taiba (LeT)
2000;1;12;183;11;1;0;3;14;76;183;1;8;0;0;28s
2000;1;12;230;11;1;0;2;14;75;230;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;12;230;11;1;0;2;14;75;230;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;12;230;11;1;0;2;14;75;230;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;12;230;11;1;0;2;14;75;230;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;12;230;11;1;0;2;14;75;230;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;12;230;11;1;0;2;14;75;230;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;12;230;11;1;0;2;14;75;230;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;12;230;11;1;0;2;14;75;230;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;12;110;10;1;0;3;17;94;110;0;6;0;0;Hezbollah
2000;1;13;213;11;1;0;6;14;67;213;0;13;0;0;Lords Resistance Army (LRA)
2000;1;13;186;6;1;0;3;14;67;186;1;6;0;0;Liberation Tigers of Tamil Eelam (LTTE)
2000;1;14;139;11;1;0;2;14;67;139;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;15;8;11;1;0;2;14;76;8;0;9;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;15;217;1;1;0;7;1;9;217;0;8;0;0;Animal Liberation Front (ALF)
2000;1;16;195;11;1;0;3;21;107;195;0;6;0;0;Beja Congress
2000;1;16;92;6;1;0;3;21;107;92;0;6;0;0;Lashkar-e-Taiba (LeT)
2000;1;16;209;10;1;0;3;10;53;209;0;6;0;0;Great Eastern Islamic Raiders Front (IBDA-C)
2000;1;16;92;6;1;0;6;14;67;92;1;5;0;0;National Liberation Front of Tripura (NLFT)
2000;1;16;213;11;1;0;2;13;65;213;1;5;0;0;Allied Democratic Forces (ADF)
2000;1;17;45;3;1;0;3;21;107;45;0;6;0;0;National Liberation Army of Colombia (ELN)
2000;1;18;45;3;1;0;3;8;49;45;1;6;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;1;18;160;5;1;0;3;1;0;160;1;6;0;0;New Peoples Army (NPA)
2000;1;20;186;6;1;0;3;3;25;186;1;6;0;0;Liberation Tigers of Tamil Eelam (LTTE)
2000;1;20;217;1;1;0;7;14;76;217;0;8;0;0;Earth Liberation Front (ELF)
2000;1;21;185;8;1;0;3;14;67;185;0;6;0;0;Basque Fatherland and Freedom (ETA)
2000;1;21;139;11;1;0;2;14;71;139;1;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;23;139;11;1;0;3;14;67;139;1;6;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;23;78;8;1;0;3;7;45;98;0;8;0;0;Anarchist Faction
2000;1;24;205;5;1;0;4;1;6;205;0;5;0;0;Gods Army
