iyear;imonth;iday;country;region;success;suicide;attacktype1;targtype1;guncertain1;weaptype1;gname
2016;1;1;95;10;1;0;3;3;0;6;Islamic State of Iraq and the Levant (ISIL)
2016;1;1;4;6;1;1;3;1;0;6;Taliban
2016;1;1;209;10;1;0;3;4;0;6;Kurdistan Workers Party (PKK)
2016;1;1;209;10;1;0;3;3;0;6;Kurdistan Workers Party (PKK)
2016;1;1;182;11;1;0;2;3;0;6;Al-Shabaab
2016;1;1;182;11;1;0;2;12;0;5;Al-Shabaab
2016;1;1;104;11;1;0;3;4;0;6;Al-Shabaab
2016;1;1;69;8;1;0;8;4;0;10;Jihadi-inspired extremists
2016;1;1;182;11;1;0;3;4;0;6;Al-Shabaab
2016;1;1;160;5;0;0;2;4;0;5;New Peoples Army (NPA)
2016;1;1;228;10;1;0;2;4;0;5;Al-Qaida in the Arabian Peninsula (AQAP)
2016;1;1;95;10;1;1;3;4;0;6;Islamic State of Iraq and the Levant (ISIL)
2016;1;1;4;6;1;0;6;2;1;5;Taliban
2016;1;1;195;11;1;0;6;14;0;5;Janjaweed
2016;1;1;92;6;1;0;3;1;0;6;Communist Party of India - Maoist (CPI-Maoist)
2016;1;1;92;6;0;0;3;1;0;6;Communist Party of India - Maoist (CPI-Maoist)
2016;1;1;92;6;1;0;6;14;1;13;United Liberation Front of Assam (ULFA)
2016;1;2;92;6;1;1;3;4;1;6;United Jihad Council
2016;1;2;182;11;1;1;3;1;0;6;Al-Shabaab
2016;1;2;92;6;0;0;6;14;0;5;Achik Songna Anpachakgipa Kotok (ASAK)
2016;1;2;95;10;1;0;6;14;0;13;Islamic State of Iraq and the Levant (ISIL)
2016;1;2;95;10;1;1;3;4;0;6;Islamic State of Iraq and the Levant (ISIL)
2016;1;2;113;10;1;0;9;4;0;13;Barqa Province of the Islamic State
2016;1;2;195;11;0;0;9;4;0;13;Sudan Peoples Liberation Movement - North
2016;1;2;217;1;1;0;7;2;0;5;Citizens for Constitutional Freedom
2016;1;3;95;10;1;1;3;3;0;6;Islamic State of Iraq and the Levant (ISIL)
