iyear;imonth;iday;country;region;success;suicide;attacktype1;targtype1;guncertain1;weaptype1;gname
2016;1;1;95;10;1;0;3;3;0;6;Islamic State
2016;1;1;182;11;1;0;2;3;0;6;Al-Shabaab
2016;1;1;182;11;1;0;2;12;0;5;Al-Shabaab
2016;1;1;104;11;1;0;3;4;0;6;Al-Shabaab
2016;1;1;182;11;1;0;3;4;0;6;Al-Shabaab
2016;1;1;228;10;1;0;2;4;0;5;Al-Qaida
2016;1;1;95;10;1;1;3;4;0;6;Islamic State
2016;1;2;182;11;1;1;3;1;0;6;Al-Shabaab
2016;1;2;95;10;1;0;6;14;0;13;Islamic State
2016;1;2;95;10;1;1;3;4;0;6;Islamic State
2016;1;3;95;10;1;1;3;3;0;6;Islamic State
2016;1;3;95;10;1;0;3;15;0;6;Islamic State
2016;1;3;95;10;1;0;3;15;0;6;Islamic State
2016;1;3;95;10;1;0;3;15;0;6;Islamic State
2016;1;3;182;11;1;0;2;14;0;5;Al-Shabaab
2016;1;3;95;10;0;1;3;4;0;6;Islamic State
2016;1;3;95;10;0;1;3;14;0;6;Islamic State
2016;1;3;95;10;0;0;2;14;0;5;Islamic State
2016;1;3;95;10;0;0;2;9;0;5;Islamic State
2016;1;3;95;10;1;0;3;14;0;6;Islamic State
2016;1;3;95;10;1;0;6;14;0;5;Islamic State
2016;1;3;95;10;0;0;2;14;0;5;Islamic State
2016;1;3;95;10;1;0;3;17;0;6;Islamic State
2016;1;3;228;10;1;0;1;4;0;13;Al-Qaida
2016;1;3;182;11;1;0;2;14;0;5;Al-Shabaab
2016;1;4;182;11;1;0;3;3;0;6;Al-Shabaab
2016;1;4;97;10;1;0;3;4;0;6;Hezbollah
2016;1;5;147;11;1;1;3;14;0;6;Boko Haram
2016;1;4;37;11;1;0;6;3;0;8;Boko Haram
2016;1;4;147;11;1;0;7;14;0;8;Boko Haram
2016;1;4;95;10;1;1;3;4;0;6;Islamic State
2016;1;4;213;11;0;0;3;20;1;6;Al-Shabaab
2016;1;4;228;10;1;0;6;14;0;5;Al-Qaida
2016;1;5;95;10;1;0;3;3;0;6;Islamic State
2016;1;5;95;10;1;0;3;14;0;6;Islamic State
2016;1;5;95;10;1;0;3;4;0;6;Islamic State
2016;1;5;95;10;1;0;3;1;0;6;Islamic State
2016;1;5;147;11;1;0;7;14;0;5;Boko Haram
2016;1;5;95;10;1;1;3;4;0;6;Islamic State
2016;1;5;95;10;1;0;6;17;0;13;Islamic State
2016;1;5;95;10;1;0;6;17;0;13;Islamic State
2016;1;4;37;11;0;0;9;14;0;13;Boko Haram
2016;1;6;200;10;1;0;3;21;0;6;Islamic State
2016;1;6;228;10;0;0;2;17;0;5;Al-Qaida
2016;1;6;95;10;1;0;2;17;0;5;Islamic State
2016;1;4;37;11;1;0;9;14;0;13;Boko Haram
2016;1;6;200;10;1;0;6;14;0;5;Islamic State
2016;1;7;182;11;1;0;3;13;0;6;Al-Shabaab
2016;1;7;182;11;1;0;3;2;0;6;Al-Shabaab
2016;1;7;19;6;1;0;2;14;1;9;Islamic State
2016;1;7;182;11;1;0;3;4;0;6;Al-Shabaab
2016;1;7;95;10;0;0;3;15;0;6;Islamic State
2016;1;7;95;10;1;0;6;14;0;5;Islamic State
2016;1;7;95;10;1;0;3;14;0;6;Islamic State
2016;1;8;123;11;1;0;6;15;0;5;Al-Qaida
2016;1;8;110;10;1;0;2;3;0;5;Islamic State
2016;1;8;37;11;1;1;3;15;1;6;Boko Haram
2016;1;9;41;11;1;0;6;14;0;5;Lords Resistance Army (LRA)
2016;1;9;41;11;1;0;6;14;0;5;Lords Resistance Army (LRA)
2016;1;9;95;10;1;0;6;14;0;13;Islamic State
2016;1;7;95;10;0;0;9;4;0;13;Islamic State
2016;1;9;95;10;1;0;6;14;0;13;Islamic State
2016;1;10;182;11;1;0;3;2;0;6;Al-Shabaab
2016;1;10;95;10;1;0;9;14;0;13;Islamic State
2016;1;10;147;11;1;0;2;14;0;5;Boko Haram
2016;1;10;95;10;0;1;3;20;0;6;Islamic State
2016;1;11;95;10;1;0;3;17;0;6;Islamic State
2016;1;11;95;10;1;0;6;14;0;13;Islamic State
2016;1;11;95;10;1;1;5;1;0;6;Islamic State
2016;1;11;95;10;1;1;3;1;0;6;Islamic State
2016;1;11;95;10;1;1;3;1;0;6;Islamic State
2016;1;11;95;10;1;0;3;14;0;6;Islamic State
2016;1;11;95;10;1;0;3;14;0;6;Islamic State
2016;1;12;209;10;1;1;3;18;0;6;Islamic State
2016;1;12;37;11;0;1;3;20;0;6;Boko Haram
2016;1;12;228;10;1;0;2;3;0;5;Al-Qaida
2016;1;12;95;10;1;1;3;3;0;6;Islamic State
2016;1;12;95;10;1;0;3;14;0;6;Islamic State
2016;1;12;95;10;0;1;3;20;0;6;Islamic State
2016;1;14;182;11;1;0;2;4;0;5;Al-Shabaab
2016;1;13;37;11;1;1;3;15;0;6;Boko Haram
2016;1;13;37;11;0;0;9;14;0;13;Boko Haram
2016;1;13;95;10;1;0;9;4;0;13;Islamic State
2016;1;13;95;10;1;0;3;3;0;6;Islamic State
2016;1;14;95;10;1;1;3;2;0;6;Islamic State
2016;1;14;95;10;0;1;1;4;0;6;Islamic State
2016;1;14;95;10;1;0;3;14;0;6;Islamic State
2016;1;14;153;6;1;0;3;2;0;6;Al-Qaida
2016;1;14;110;10;1;0;3;14;0;6;Islamic State
2016;1;15;33;11;1;0;5;1;0;6;Al-Qaida
2016;1;15;33;11;1;0;3;1;0;6;Al-Qaida
2016;1;15;33;11;1;0;6;14;0;13;Al-Qaida
2016;1;15;182;11;1;1;6;4;0;6;Al-Shabaab
2016;1;15;147;11;1;0;3;4;0;6;Boko Haram
2016;1;15;95;10;1;0;6;14;0;13;Islamic State
2016;1;15;95;10;1;1;3;4;0;6;Islamic State
2016;1;15;200;10;1;1;3;17;0;6;Islamic State
2016;1;11;200;10;1;0;6;14;0;13;Islamic State
2016;1;16;33;11;1;0;2;1;0;5;Al-Qaida
2016;1;16;200;10;1;1;6;4;0;6;Islamic State
2016;1;16;200;10;1;1;6;4;0;6;Islamic State
2016;1;16;200;10;1;1;6;14;0;6;Islamic State
2016;1;16;200;10;1;1;6;4;0;6;Islamic State
2016;1;16;200;10;1;1;6;4;0;6;Islamic State
2016;1;16;200;10;1;1;6;4;0;6;Islamic State
2016;1;16;200;10;1;1;6;4;0;6;Islamic State
2016;1;16;200;10;1;1;6;4;0;6;Islamic State
2016;1;16;200;10;1;1;6;14;0;6;Islamic State
2016;1;16;200;10;1;1;6;14;0;6;Islamic State
2016;1;16;200;10;1;1;6;4;0;6;Islamic State
2016;1;16;146;11;1;0;3;4;0;6;Boko Haram
2016;1;16;182;11;1;0;3;4;0;6;Al-Shabaab
2016;1;17;228;10;0;1;1;3;0;6;Al-Qaida
2016;1;17;182;11;1;0;2;4;0;5;Al-Shabaab
2016;1;17;95;10;0;0;2;14;0;5;Islamic State
2016;1;16;182;11;1;0;6;14;0;5;Al-Shabaab
2016;1;18;182;11;0;0;2;4;0;5;Al-Shabaab
2016;1;18;37;11;1;1;3;15;0;6;Boko Haram
2016;1;18;209;10;1;0;3;8;0;6;Islamic State
2016;1;18;228;10;1;0;1;2;0;5;Al-Qaida
2016;1;18;95;10;1;0;2;17;0;5;Islamic State
2016;1;18;182;11;1;0;2;4;0;5;Al-Shabaab
2016;1;19;153;6;1;1;3;4;0;6;Lashkar-e
2016;1;19;200;10;1;0;6;14;0;13;Islamic State
2016;1;19;95;10;1;0;6;14;0;13;Islamic State
